country,city,activeUsers,newUsers,engagedSessions,engagementRate,averageSessionDuration
"Poland","Warsaw","64","57","85","0.92391304347826086","1066.1052143913041"
"Poland","Wroclaw","60","56","71","0.9726027397260274","152.84457609589043"
"Poland","Swieradow-Zdroj","52","44","111","0.88095238095238093","386.96550182539681"
"Poland","Poznan","44","33","48","0.94117647058823528","151.7234655098039"
"Belgium","Antwerp","32","32","27","0.84375","5.65234021875"
"Czechia","Prague","19","18","21","0.91304347826086951","167.07674560869563"
"Belgium","","17","17","15","0.88235294117647056","5.892348823529411"
"Poland","Jelenia Gora","16","12","19","0.90476190476190477","138.38622523809522"
"(not set)","(not set)","14","14","14","1","0.85129957142857138"
"Poland","Katowice","12","11","12","1","40.874457"
"United States","Columbus","12","12","0","0","0"
"Belgium","Brussels","11","10","10","0.76923076923076927","39.388682769230769"
"United Kingdom","London","9","9","9","1","28.804641222222219"
"Poland","Zielona Gora","8","7","8","1","93.134728125"
"Poland","Rzeszow","7","4","10","1","18.315238299999997"
"Poland","Bydgoszcz","6","6","6","1","46.548343999999993"
"Poland","Gdansk","6","6","9","1","168.05642866666665"
"Poland","Krakow","6","6","5","0.7142857142857143","43.069212"
"Belgium","Ghent","5","5","3","0.6","2.2675784"
"Germany","(not set)","5","5","6","1","68.476754666666665"
"Belgium","Beringen","4","4","3","0.75","22.653374250000002"
"Belgium","Maasmechelen","4","4","5","1","10.080553"
"Czechia","Brno","4","0","6","1","47.853113"
"Netherlands","Rotterdam","4","4","3","0.75","3.68179425"
"Poland","(not set)","4","3","4","1","55.2027145"
"Poland","Szczecin","4","4","8","1","202.32765075"
"Belgium","Assenede","3","3","2","0.66666666666666663","1.638763"
"Belgium","Geraardsbergen","3","3","2","0.66666666666666663","3.17808"
"Belgium","Lokeren","3","3","3","1","617.1203283333333"
"Belgium","Sint-Truiden","3","3","3","1","4.7871083333333333"
"Czechia","Kladno","3","1","4","1","433.45456025"
"Poland","Jawor","3","3","3","1","926.7131536666667"
"Poland","Lublin","3","3","3","1","82.95788366666666"
"Poland","Pruszkow","3","2","3","1","45.950866666666663"
"Belgium","(not set)","2","2","2","1","2.206109"
"Belgium","Brecht","2","2","2","1","4.857161"
"Belgium","Bruges","2","2","1","0.5","2.475275"
"Belgium","Erpe-Mere","2","2","1","0.5","2.592863"
"Belgium","Halle","2","2","2","1","4.808511"
"Belgium","Hasselt","2","2","2","1","8.040041"
"Belgium","Herstal","2","2","2","1","4.9310895"
"Belgium","Hoogstraten","2","2","2","1","3.552059"
"Belgium","Lanaken","2","2","2","1","18.5892755"
"Belgium","Leuven","2","2","2","1","4.8973499999999994"
"Belgium","Lier","2","2","2","1","5.605724"
"Belgium","Lommel","2","2","2","1","4.9134139999999995"
"Belgium","Lummen","2","2","1","0.5","2.5074355"
"Belgium","Mechelen","2","2","2","1","4.697241"
"Belgium","Neerpelt","2","2","2","1","8.3947015"
"Belgium","Ninove","2","2","1","0.5","2.472908"
