sessionDefaultChannelGroup,sessionSourceMedium,sessions,activeUsers,engagementRate,averageSessionDuration,bounceRate
"Organic Search","google / organic","276","188","0.94202898550724634","197.59308017028985","0.057971014492753624"
"Direct","(direct) / (none)","218","144","0.8669724770642202","605.57554629816514","0.13302752293577982"
"Paid Social","fb / paid","42","42","0.90476190476190477","15.873190047619048","0.095238095238095233"
"Organic Social","m.facebook.com / referral","37","36","1","63.552485270270274","0"
"Organic Social","ig / social","28","27","0.9285714285714286","41.888179964285719","0.071428571428571425"
"Organic Social","lm.facebook.com / referral","24","20","0.95833333333333337","40.583351875","0.041666666666666664"
"Organic Shopping","checkout.stripe.com / referral","11","3","0.63636363636363635","284.75230118181821","0.36363636363636365"
"Paid Search","google / cpc","7","7","1","0.65696985714285716","0"
"Organic Social","l.facebook.com / referral","3","3","1","93.247141333333332","0"
"Referral","beds24.com / referral","3","3","1","107.43344966666666","0"
"Unassigned","chatgpt.com / (not set)","3","3","1","87.047732","0"
"Organic Social","l.instagram.com / referral","2","2","1","6.474458","0"
"Organic Search","ecosia.org / organic","1","1","1","14.051132","0"
"Organic Social","facebook.com / referral","1","1","1","22.433581","0"
"Referral","dzieciochatki.pl / referral","1","1","1","63.527857","0"
"Referral","jariblog.online / referral","1","1","0","0","1"
"Unassigned","(not set)","1","1","0","4.853768","1"
